,Date,Loop ID,Mean Students Boarded,Total Students Boarded,Total Students Left Behind,Temp Mean,Temp Low,Temp High,Humidity Mean,Wind Speed Mean,Rain One Hour Median,Rain Three Hour Median,Snow One Hour Median,Snow Three Hour Median,Month,Season
79,2021-02-05,Blue Loop,0.725,319.0,0.0,25.998500000000053,19.23800000000004,35.618000000000094,79.41666666666667,16.713186250000003,0.3031496062992126,0.3070866141732284,0.043307086614173235,,February,Winter
80,2021-02-05,Demand Response,1.5,24.0,0.0,25.998500000000053,19.23800000000004,35.618000000000094,79.41666666666667,16.713186250000003,0.3031496062992126,0.3070866141732284,0.043307086614173235,,February,Winter
81,2021-02-05,Green Loop,1.104602510460251,1320.0,11.0,25.998500000000053,19.23800000000004,35.618000000000094,79.41666666666667,16.713186250000003,0.3031496062992126,0.3070866141732284,0.043307086614173235,,February,Winter
82,2021-02-05,Orange Loop,0.9257142857142857,324.0,0.0,25.998500000000053,19.23800000000004,35.618000000000094,79.41666666666667,16.713186250000003,0.3031496062992126,0.3070866141732284,0.043307086614173235,,February,Winter
83,2021-02-05,Red Loop,0.9384615384615385,305.0,0.0,25.998500000000053,19.23800000000004,35.618000000000094,79.41666666666667,16.713186250000003,0.3031496062992126,0.3070866141732284,0.043307086614173235,,February,Winter
84,2021-02-07,Sunday Green,1.24,279.0,0.0,9.46025000000004,0.5900000000000212,16.86200000000006,73.91666666666667,7.969312499999997,,,0.07480314960629922,,February,Winter
85,2021-02-07,Sunday Orange,0.7831632653061225,307.0,0.0,9.46025000000004,0.5900000000000212,16.86200000000006,73.91666666666667,7.969312499999997,,,0.07480314960629922,,February,Winter
86,2021-02-08,Blue Loop,0.774074074074074,418.0,0.0,12.085250000000034,6.998000000000022,20.67800000000007,73.91666666666667,5.406083333333332,,,0.0688976377952756,,February,Winter
87,2021-02-08,Demand Response,1.4,49.0,0.0,12.085250000000034,6.998000000000022,20.67800000000007,73.91666666666667,5.406083333333332,,,0.0688976377952756,,February,Winter
88,2021-02-08,Green Loop,1.0097560975609756,1242.0,0.0,12.085250000000034,6.998000000000022,20.67800000000007,73.91666666666667,5.406083333333332,,,0.0688976377952756,,February,Winter
89,2021-02-08,Orange Loop,0.8949671772428884,409.0,0.0,12.085250000000034,6.998000000000022,20.67800000000007,73.91666666666667,5.406083333333332,,,0.0688976377952756,,February,Winter
90,2021-02-08,Red Loop,1.0252808988764044,730.0,0.0,12.085250000000034,6.998000000000022,20.67800000000007,73.91666666666667,5.406083333333332,,,0.0688976377952756,,February,Winter
91,2021-02-09,Blue Loop,0.8626373626373627,314.0,0.0,19.766750000000037,17.636000000000067,22.388000000000048,79.625,7.484629166666667,,,0.0905511811023622,,February,Winter
92,2021-02-09,Demand Response,1.3376146788990826,729.0,0.0,19.766750000000037,17.636000000000067,22.388000000000048,79.625,7.484629166666667,,,0.0905511811023622,,February,Winter
93,2021-02-09,Green Loop,1.0259117082533589,1069.0,3.0,19.766750000000037,17.636000000000067,22.388000000000048,79.625,7.484629166666667,,,0.0905511811023622,,February,Winter
94,2021-02-09,Orange Loop,1.23372240191253,17546.0,0.0,19.766750000000037,17.636000000000067,22.388000000000048,79.625,7.484629166666667,,,0.0905511811023622,,February,Winter
95,2021-02-09,Red Loop,0.9982847341337907,582.0,0.0,19.766750000000037,17.636000000000067,22.388000000000048,79.625,7.484629166666667,,,0.0905511811023622,,February,Winter
96,2021-02-10,Blue Loop,0.9227272727272727,406.0,0.0,17.129750000000037,12.704000000000056,20.24600000000005,78.91666666666667,6.785566666666668,,,0.10826771653543307,,February,Winter
97,2021-02-10,Demand Response,1.5294117647058822,52.0,0.0,17.129750000000037,12.704000000000056,20.24600000000005,78.91666666666667,6.785566666666668,,,0.10826771653543307,,February,Winter
98,2021-02-10,Green Loop,1.042535446205171,1250.0,0.0,17.129750000000037,12.704000000000056,20.24600000000005,78.91666666666667,6.785566666666668,,,0.10826771653543307,,February,Winter
99,2021-02-10,Orange Loop,1.03125,363.0,0.0,17.129750000000037,12.704000000000056,20.24600000000005,78.91666666666667,6.785566666666668,,,0.10826771653543307,,February,Winter
100,2021-02-10,Red Loop,1.2069425901201603,904.0,0.0,17.129750000000037,12.704000000000056,20.24600000000005,78.91666666666667,6.785566666666668,,,0.10826771653543307,,February,Winter
